id,post_id,post_url,time_of_post,leasing_agent,scraped_at,general_area,street_number,city,province,postal_code,price,sqr_feet,bed,bath,rent_period,user_post_title,first_pic,user_meta_tags,post_description,img_url,source_spider,boundingbox,building_type,address_osm
1,7941027907,https://www.craigslist.org/view/d/vancouver-furnished-1br-den-view/h32XLawcNBesE7FgQretzg,2026-06-14T23:28:25-0700,individual,2026-06-28 02:02:31,DOWNTOWN,vancouver,,,,2800,564,1,1,monthly,"Furnished 1BR + Den w/ View — Downtown Vancouver, Utilities Included",https://images.craigslist.org/00202_7U5lGvHMmXv_0lM0t2_600x450.jpg,"apartment, w/d in unit, furnished, no parking, no smoking, wheelchair accessible",QR Code Link to This Post  Furnished 1 bed + den at the Spectrum — solarium  balcony  and north-facing water and mountain views  with utilities covered.  This is a turnkey home for someone who wants to skip the moving truck. The suite includes a separate den  an enclosed solarium that pulls in light all day  and a balcony that looks out north over the water to the North Shore mountains. It comes fully furnished bed  sofa  dining  the works so you can be settled the day you get the keys.  What you get:  - 1 bedroom  1 full bathroom  plus a den and solarium  - Private balcony with north-facing water and North Shore mountain views  - Fully furnished throughout  - Washer and dryer in the suite  - Heat  hot water  and hydro all included in the rent - internet can be negotiated  - Parking not included  The neighbourhood  You're downtown  a short walk from Rogers Arena and BC Place  with Costco and T&T close by for groceries. The Central Library  transit  and the SkyTrain are all within walking distance  and the rest of downtown is at your doorstep. It's a part of the city where you can leave the car behind and walk to most of what you need.  Building  Spectrum 3 is a well-run tower with a full set of amenities: an indoor pool  sauna and hot tub  a fully equipped gym  a media/party room  and a 24-hour concierge.  Terms  - $2 800/month on a 12-month lease  - Shorter terms available at a higher monthly rate  - Half a month's rent security deposit at signing  - No smoking  no pets  Available now.  If it sounds like a fit  send me a quick introduction about yourself and who'd be living here  along with a phone number  and we'll set up a viewing.,https://images.craigslist.org/00202_7U5lGvHMmXv_0lM0t2_600x450.jpg,,"['49.1989306', '49.3161714', '-123.2249611', '-123.0232419']",,"Vancouver, Metro Vancouver Regional District, British Columbia, Canada"
2,7943793412,https://www.craigslist.org/view/d/vancouver-one-bedroom-basement-suite/nmyNbKNUdd3hQ29oQuzw6H,2026-06-27T18:50:27-0700,individual,2026-06-28 02:03:02,VANCOUVER,vancouver,,,,1500,,1,1,monthly,One Bedroom Basement Suite,,"apartment, laundry on site, street parking, no smoking",QR Code Link to This Post  Basement with one bedroom suite available with an additional room for extra storage outside available August 1st 2026  No pets  includes Wifi/Shared Laundry/Separate entrance/Split Hydro & Fortis monthly.  Centrally located:  3 min drive to TNT supermarket  5 min drive to Superstore  7 min drive to Walmart  5 min drive to Commercial skytrain  5 min drive to Renfrew Skytrain  2 min walk to number 9/99 b line bus stop across van tech  1 year lease minimum.  If interested please indicate  1) expected move in date  2) # of occupancy  Thanks!,,,"['49.1989306', '49.3161714', '-123.2249611', '-123.0232419']",,"Vancouver, Metro Vancouver Regional District, British Columbia, Canada"
3,7943306260,https://www.craigslist.org/view/d/vancouver-bed-bath-brand-new-basement/vrmJmEzafSAg2EboDVLuYv,2026-06-25T13:29:25-0700,individual,2026-06-28 02:03:46,VANCOUVER,6033 fremlin st,Vancouver,BC,V5Z3W8,2600,1300,2,1,monthly,2 Bed 1 Bath BRAND NEW basement suite @ Oakridge,https://images.craigslist.org/01515_8reHHzPs5HN_0gw09k_600x450.jpg,"in-law, w/d in unit, off-street parking, no smoking, wheelchair accessible, air conditioning",QR Code Link to This Post  Available now  6033 Fremlin St  Vancouver (Basement)  Video Tour:  https://youtu.be/9hzGx8oZtZo  Bedroom: 2  Bathroom: 1  Sqft: 1300  Washer/ Dryer: In-suite  Parking: Street parking  Features: Newly renovated  private entrance  A/C  tile flooring  electric stove  In-suite washer & dryer  microwave  dishwasher  all new appliances and separate thermostat  Heating: Gas Furnace Forced Air  Cooling: A/C  Utilities: Split with upper suite based on # of people (separate thermostat)  BRAND NEW RENOVATED 2 Bed 1 Bath basement suite in a beautiful house in the Oakridge neighbourhood  Vancouver West. New appliances  tile flooring  open layout  in-suite private laundry  private entrance and street parking available. Walking distance to Oakridge Mall  Sir William Osler Elementary School  Montgomery Park. Steps to 41st Ave and Oak Street for easy access to public transit. Close to UBC  Langara College  Sir Winston Churchill Secondary and Downtown Vancouver.  We are looking for a 1 year lease or more with option to renew. Landlord  employment/ income verification  tenant insurance required.  TO VIEW OR APPLY:  - Short background of each tenant  - Income info  - Desired Move-In date  - Length of term  - Availability for viewings  - Reference “Fremlin basement”  Professionally managed by Russ Au Yeung  Oakwyn Property Management Ltd.  3195 Oak Street Vancouver BC V6H 2L2  Disclaimer: No tenant application fee will be charged. All the information and measurements obtained herein we deem reliable and accurate  however  Oakwyn Property Management Ltd. does not guarantee it's accuracy. Availability  rental rate and leasing requirements are subject to change at any time.,https://images.craigslist.org/01515_8reHHzPs5HN_0gw09k_600x450.jpg,,,,
4,7943793855,https://www.craigslist.org/view/d/vancouver-bedroom-ground-level-2250/45t5C1ooGTyuvQL7ZbDobZ,2026-06-27T18:54:48-0700,individual,2026-06-28 02:19:09,VANCOUVER WEST,1025 west 57 ave,Vancouver,BC,V6P1S6,2250,1100,3,1,monthly,"3 Bedroom ground level, $2,250 utilities included",https://images.craigslist.org/00Y0Y_2RrCYyvyUGf_0t20CI_600x450.jpg,"house, w/d in unit, street parking",QR Code Link to This Post  Available August 1st:  3 BR Ground-Level Suite - $2 250/month (Utilities included)- 1100 square-foot ground-level suite in a well- maintained two-story house located on west 57th  near Oak street.  -Suite can be unfurnished  or fully furnished if desired.  -Property is 1 block from Winston Churchill Secondary and  Wilfred Laurier Elementary Schools.  -UBC  downtown is a 15 min drive with bus stops located just outside the suite  or 30-40 minutes by bike.  -Langara College is 5 min by bike or a 15 min walk.  -Street parking available for 2 cars.  -Two to three working adults  Students or a family is preferred.  -No Smoking/Vaping. No pets. No Sublet. References  -For viewing please email with Phone No.,https://images.craigslist.org/00Y0Y_2RrCYyvyUGf_0t20CI_600x450.jpg,,,,
5,7941832635,https://www.craigslist.org/view/d/vancouver-classic-bedroom-house-in/mmZpPMzdGNuLbK28yPK5ct,2026-06-18T12:46:21-0700,individual,2026-06-28 02:19:29,SOUTH GRANVILLE,vancouver,,,,5800,2822,3,2,monthly,Classic 3-Bedroom House in a Prime West Side Neighbourhood,https://images.craigslist.org/00k0k_1bLjFKBB9nv_0CI0pf_600x450.jpg,"house, w/d in unit, carport, no smoking",QR Code Link to This Post  Upper 167X W 49th Ave  Vancouver V6M 2S1 2 822 sqft  Rare West Side heritage home for rent! This 114-year-old residence offers approx. 2 822 sq.ft. of living space  blending timeless craftsmanship with thoughtful modern updates including original millwork  leaded glass  and a hand-painted dining room ceiling. Featuring 3 spacious bedrooms upstairs with an ensuite in the primary. Located on a quiet  tree-lined street in a prestigious West Side neighbourhood.  School catchment: Maple Grove Elementary / Magee Secondary  Feature  MAIN (1 452 sq.ft)  -1 Living Room  -1 Family Room  -1 Dining Room  -1 Kitchen  -1 Eating Area  -1 Flex Foom  -1 Half Bath  -1 Porch (enclosed)  ABOVE (1 370 sq.ft)  -1 Laundry  -1 Master Bedroom  -1 Ensuite  -1 Bedroom  -1 Bedroom  -1 Bathroom  -1 Solarium  Terms:  - Minimum 12-Month Fixed Lease  - Half Month's Rent Security Deposit  - Tenant Insurance Required Prior to Move-In  - Move-In Fee as Required by Strata  - Credit Check and References Required  - No Airbnb  Short-Term Rentals  or Subletting  - No Smoking  Marijuana  or Illegal Drugs  - No Pets  Preference Will Be Given To Applicants Who Can Provide:  - Good References from Previous Landlords  - Proof of Employment or Income  - Credit Report Upon Request  - Responsible and Respectful Tenants  - Non-Smokers  Rent:  Main+Above:  $5 800 / month  Availability: August 01  2026  If interested in viewing.  - Please schedule a showing through email  - Email – Joyce (Click reply at top left corner)  *Please specify the location and unit (recommend including the Craigslist link)  *Please include a basic bios  contact information and availability to schedule a showing time.  Property represented and posted by:  VanHouse Property Management Group  Remax Heights Realty Inc  400 - 4370 Dominion St  Burnaby BC  Disclaimer: The above information  while deemed to be correct  is not guaranteed. Suites are not furnished as depicted in photos. Pictures and views are of display suites only.,https://images.craigslist.org/00k0k_1bLjFKBB9nv_0CI0pf_600x450.jpg,,"['49.1989306', '49.3161714', '-123.2249611', '-123.0232419']",,"Vancouver, Metro Vancouver Regional District, British Columbia, Canada"
6,7936883249,https://www.craigslist.org/view/d/vancouver-joyce-station-spacious-bright/4pHWL9whDbM7P3Xw4i99mg,2026-05-26T12:12:23-0700,individual,2026-06-28 02:20:17,VANCOUVER,5189 gaston street,Vancouver,BC,V5R6C7,2750,804,2,2,monthly,Joyce Station Spacious Bright 2 Bed 2 Bath,https://images.craigslist.org/01111_j1hfIUi4XCM_0CI0t2_600x450.jpg,"cats are OK - purrr, apartment, w/d in unit, attached garage",QR Code Link to This Post  17th floor 5189 GASTON STREET  Bright and well-kept 2-bedroom  2-bathroom condo in a convenient Vancouver location. This functional home offers a comfortable layout  modern finishes  and great natural light. Enjoy building amenities and easy access to transit  shopping  parks  and everyday essentials. Perfect for professionals  couples  or small families seeking comfort and convenience.  Just a 5-minute walk to Joyce SkyTrain Station  providing quick access to Downtown Vancouver. Only a 15-minute drive to both Metrotown and Downtown  with easy access to Highway 1 for commuters.  Features:  1 Living Room  1 Kitchen  2 Bedroom  2 Bathroom  What else is included:  - Fridge / Stove  - Laundry  - Dishwasher  - 1 Parking  No Locker  Terms:  12 Months Fixed Lease  Half Month’s Rent Security Deposit  Tenant’s Insurance is required before move-in.  Credit check and reference are required  No Airbnb or No Subletting; or similar  No dogs  No Marijuana  no drugs allowed  Preference will go to those who can provide:  - Good References  - Proof of work or Record of Employment (or student with financial banking)  - Credit check upon request  - Someone who is quiet and respectful  - People who are non-smokers  Cats ok.  Price per month: $ 2750  Availability:  Available now for a minimum one year lease.  If interested for viewing.  - Please schedule a showing through email or text message  - Email –Stephen (Click reply at top left corner)  *Please specify the location and unit (recommend to include the craigslist link)  *Please include a basic bios  contact information and availability to schedule a showing time.  Property represented and posted by:  RE/MAX Heights Realty  4370 Dominion St #400  Burnaby  BC V5G 4L7  Disclaimer: The above information  while deemed to be correct  is not guaranteed. Suites are not furnished as depicted in photos. Pictures and views are of display suites only,https://images.craigslist.org/01111_j1hfIUi4XCM_0CI0t2_600x450.jpg,,,,
7,7937494547,https://www.craigslist.org/view/d/vancouver-bright-corner-bed-flex-in/x14AgAcQQScgk8gBdfndM9,2026-05-29T10:52:00-0700,individual,2026-06-28 02:20:38,VANCOUVER,vancouver,,,,3100,750,2,1,monthly,Bright Corner 2 Bed + Flex in Olympic Village with Mountain Views,https://images.craigslist.org/00707_6dIixrxPML5_0CI0t2_600x450.jpg,"apartment, w/d in unit, attached garage, no smoking",QR Code Link to This Post  7XX - 159 W 2nd Ave  Vancouver V5Y 0L8  Bright and well-laid-out 2 bedroom + flex corner unit at Tower Green in Olympic Village. Features a gourmet kitchen with stainless steel appliances  quartz countertops  built-in flex storage  and beautiful garden/mountain views. Great amenities including gym  rooftop BBQ terrace  party room  and visitor parking. Includes 1 parking stall. Small pets negotiable. Steps to shops  dining  SkyTrain  and UBC bus.  ~ Feature~  - 2 Bedrooms  - 1 Bathroom  - 1 Living room  - 1 Flex room  What else is included:  - Washer  - Dryer  - Fridge  - Stove  - Dishwasher  - 1 Parking  Preference will go to those who can provide:  - Good References  - Proof of work or Record of Employment (or student with financial banking)  - Credit check upon request  - Someone who is quiet and respectful  - People who are non-smokers  Price per month: $3100.00  Availability:  Available July 01  2026 for a minimum ONE year lease.  If interested for viewing.  - Please schedule a showing through email or text message  - Email - (Click reply on top left corner)  *Please specify the location and unit (recommend to include the craigslist link)  *Please include a basic bios  contact information and availability to schedule a showing time.  Property represented and posted by:  Remax Heights Realty  #400 - 4370 Dominion St  Burnaby  BC V5G 4L7  Disclaimer: The above information  while deemed to be correct  is not guaranteed. Suites are not furnished unless otherwise stated. Pictures may be from similar units and are for reference only.,https://images.craigslist.org/00707_6dIixrxPML5_0CI0t2_600x450.jpg,,"['49.1989306', '49.3161714', '-123.2249611', '-123.0232419']",,"Vancouver, Metro Vancouver Regional District, British Columbia, Canada"
8,7936883291,https://www.craigslist.org/view/d/vancouver-garden-suite-in-hasting/ipGKtwwRF64A1ASnkAhtqm,2026-05-26T12:12:36-0700,individual,2026-06-28 02:21:09,VANCOUVER,28 triumph st,Vancouver,BC,V5K1T4,1500,,1,1,monthly,Garden Suite in Hasting-Sunrise 1Bed 1 Bath,https://images.craigslist.org/00w0w_iAzUnxV3nO8_0CI0t2_600x450.jpg,"apartment, w/d in unit, street parking",QR Code Link to This Post  28XX Triumph St  Vancouver  BC V5K 1T4  This charming ground-level 1-bedroom  1-bathroom garden suite is ideally located in the sought-after Hasting-Sunrise neighbourhood. With easy access to Hastings Park  local shops  and public transit  this suite offers a perfect balance of quiet living and urban convenience.  Key Features:  1 Bedroom  1 Full Bathroom  Living Room  Kitchen  Private Entrance  Additional Features:  Laundry: In-suite washer (dryer and space shared)  Utilities: Tenant pays 20% of natural gas and electricity costs  Street Parking: Ample parking available on the street  Lease Terms:  12-month fixed lease  Half month’s rent security deposit  Tenant’s insurance required prior to move-in  Credit check and references required  No smoking and no pets  No subletting or Airbnb  No marijuana or drugs allowed  Preferences:  Quiet  respectful tenants  Non-smokers  Tenants who can provide good references  proof of employment (or financial backing for students)  and a credit check upon request  Price: $1 500/month  Available immediately.  For a minimum one year lease.  If interested for viewing.  - Please schedule a showing through email or text message  - Email – Stephen (Click reply at top left corner)  *Please specify the location and unit (recommend to include the craigslist link)  *Please include a basic bios  contact information and availability to schedule a showing time.  Property represented and posted by:  RE/MAX Heights Realty  4370 Dominion St #400  Burnaby  BC V5G 4L7  Disclaimer: The above information  while deemed to be correct  is not guaranteed. Suites are not furnished as depicted in photos. Pictures and views are of display suites only.,https://images.craigslist.org/00w0w_iAzUnxV3nO8_0CI0t2_600x450.jpg,,,,
9,7940349302,https://www.craigslist.org/view/d/vancouver-brand-new-bedroom-flex/hrGZQJ8zhFgDbNK7EasSyh,2026-06-11T13:51:47-0700,individual,2026-06-28 02:21:29,OKU,vancouver,,,,2200,560,1,1,monthly,Brand New 1 Bedroom + Flex | Boutique Concrete Home at OKU,https://images.craigslist.org/01010_kLAvyvxMcHR_0jb0ew_600x450.jpg,"apartment, w/d in unit, attached garage",QR Code Link to This Post  second Floor - 8080 OAK ST VANCOUVER BC V6P 0N1  This spacious 1 bedroom + flex home offers a thoughtfully designed layout with an open-concept living and dining area that extends to a covered balcony—perfect for relaxing  entertaining  or enjoying your morning coffee in comfort.  Built with zero-emission construction  the building features high-performance walls and windows for enhanced energy efficiency and sound insulation  along with advanced VRF climate control to ensure year-round comfort. The interior showcases a sleek  modern aesthetic with a gourmet European-style kitchen complete with quartz countertops and premium integrated appliances—ideal for everyday living and hosting.  Residents enjoy access to a range of well-appointed amenities  including a fitness studio  co-working space  and an entertainment lounge for social gatherings. Ideally located in a well-established Vancouver West neighbourhood  the home is within walking distance to Sir Wilfred Laurier Elementary and Churchill Secondary  and just a short walk to the soon-to-be-completed Marpole Community Centre—offering the perfect balance of convenience  comfort  and contemporary design.  Features:  -Living & Dining Area  -Modern Kitchen  -1 Bedroom  -1 Bathroom  -Den / Flex Space  -Private Balcony  -Storage Locker  -1 Bike Rack  -1 Parking Stall  Included:  -Air Conditioning  -Washer & Dryer  -Fridge  -Dishwasher  -Stove  -Oven  -Microwave  Tenant Preferences:  -Good references  -Proof of income or employment  -Credit check upon request  -Quiet and respectful individuals  Rent: $2 250/month  Availability:  Available now  minimum one-year lease required  To Schedule a Viewing:  Please contact via email or text (Charlie)  Kindly include:  -Property address and unit (recommended to include the listing link)  -A brief introduction about yourself  -Contact information  -Availability for showings  Property Listed By:  Remax Heights Realty  #400 – 4370 Dominion St  Burnaby  BC V5G 4L7  Disclaimer:  The above information is deemed reliable but not guaranteed. Units are not furnished as shown in photos. Images and views may be from display units and are for reference only.,https://images.craigslist.org/01010_kLAvyvxMcHR_0jb0ew_600x450.jpg,,"['49.1989306', '49.3161714', '-123.2249611', '-123.0232419']",,"Vancouver, Metro Vancouver Regional District, British Columbia, Canada"
10,7940358031,https://www.craigslist.org/view/d/vancouver-cozy-bed-2bath-flex-penthouse/5Wqe7PFWfyA7htm3KQZti1,2026-06-11T14:28:58-0700,individual,2026-06-28 02:21:59,RIVER DISTRICT,vancouver,,,,2800,930,2,2,monthly,Cozy 2 bed/2bath/1 flex Penthouse Unit at River District,https://images.craigslist.org/00H0H_3vYQAVzs7l4_0fu0ak_600x450.jpg,"apartment, w/d in unit, attached garage, no smoking","QR Code Link to This Post  4xx 3163 Riverwalk Ave  Vancouver  Stunning Penthouse at Polygon built ""New Water""! This gorgeous top floor  2 bedroom  2 bathroom and 1 den offers 14 foot ceilings  an open floor plan  and a bright  open outlook with a generous sized balcony. High end finishings includes dark rich hardwood flooring  quartz countertops  gas stove and stainless steel Bosch appliances. Building offers a Westcoast modern architecture with the use of concrete  brick  steel and wood. Amenities include recreation room and gym. Enjoy this new and exciting waterfront neighborhood with the boardwalk & community centre close by! 1 parking included. Features:  1 Living Room  1 flex Room  1 Kitchen  2 Bedrooms  2 Bathrooms  What else is included:  - Clothes Washer  - Dryer  - Fridge  - Stove  - Dish Washer  1 Parking Stall  Preference will go to those who can provide:  - Good References  - Proof of work or Record of Employment (or student with financial banking)  - Credit check upon request  - Someone who is quiet and respectful  - People who are non-smokers  - People with no pets  Price per month: $2800CAD  Availability:  Available now  2026 for a minimum one year lease.  If interested for viewing.  - Please schedule a showing through email  - Email - Vikki (click reply at top left corner)  *Please specify the location and unit (recommend to include the craigslist link)  *Please include a basic bios  contact information and availability to schedule a showing time.  Property represented and posted by:  Remax Heights Realty  VanHouse Property Management Group  400 4370 Dominion St  Burnaby BC  V5G 4L7  Disclaimer: The above information  while deemed to be correct  is not guaranteed. Suites are not furnished as depicted in the photos. Pictures and views are of display suites only.",https://images.craigslist.org/00H0H_3vYQAVzs7l4_0fu0ak_600x450.jpg,,"['49.1989306', '49.3161714', '-123.2249611', '-123.0232419']",,"Vancouver, Metro Vancouver Regional District, British Columbia, Canada"
