title,listing_url,source_website,img_of_unit,days_ago_posted,post_updated,first_seen,last_seen,status,address,street_address,neighbourhood,city,province,price,bedrooms,bathrooms,square_feet,lot_size,property_type,post_description,move_in_date,security_deposit,min_rental_period,amenities,features,facilities,pet,appliances,parking,locker,smoking,agent_name,brokerage,listing_id,listing_hash,latitude,longitude,furnished,pets_allowed,utilities_included,description,is_active
Modern bachelor apartments at Yarrow and Aster East Village!,https://www.kijiji.ca/v-apartments-condos/vancouver/modern-bachelor-apartments-at-yarrow-and-aster-east-village/1726387902,Kijiji.ca,N/A,N/A,N/A,2026-06-07,2026-06-07,active,"435 Boundary Road, Vancouver, BC, V5K 0H6",435 Boundary Road,Vancouver,Vancouver,BC,1895,Studio/Bachelor,1,N/A,N/A,Apartment,Stylish Apartment Living at Yarrow &amp; Aster East VillageUp to Two Months Free Rent on Select Suites* Yarrow &amp; Aster East Village are located in the diverse community of Hastings-Sunrise of East ...,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,1726387902,f738419ef9a19322e420d11a49e7cb51,N/A,N/A,N/A,N/A,N/A,N/A,1
Century - 1 Bedroom Apartment for Rent,https://www.kijiji.ca/v-apartments-condos/vancouver/century-1-bedroom-apartment-for-rent/1738247260,Kijiji.ca,N/A,N/A,N/A,2026-06-07,2026-06-07,active,"250 EAST 15TH STREET, North Vancouver, BC, V7L 2R4",250 EAST 15TH STREET,North Vancouver,Vancouver,BC,2725,1,1,523,N/A,House,"Century by Cressey offers pet-friendly studio, one-, two-, and three-bedroom rental homes in the vibrant Central Lonsdale neighbourhood of North Vancouver. This building is a walker&apos;s paradise as the ...",N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,1738247260,f32891732ffb3c7e2464b2ec8cce5611,N/A,N/A,N/A,N/A,N/A,N/A,1
The Lonsdale - 2 Bedroom Apartment for Rent,https://www.kijiji.ca/v-apartments-condos/vancouver/the-lonsdale-2-bedroom-apartment-for-rent/1708206115,Kijiji.ca,N/A,N/A,N/A,2026-06-07,2026-06-07,active,"108 13th Street West, North Vancouver, BC, V7M 0G8",108 13th Street West,North Vancouver,Vancouver,BC,4300,2,2,908,N/A,Apartment,"Outfitted with a timeless mid-century modern design, this furnished two-bedroom apartment for rent at The Lonsdale provides the perfect temporary home in the heart of North Vancouver. A ...",N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,1708206115,ce5ebf550c4afd063fc7adde80acd232,N/A,N/A,N/A,N/A,N/A,N/A,1
Three bedroom landway house for rent,https://www.kijiji.ca/v-apartments-condos/vancouver/three-bedroom-landway-house-for-rent/1737948850,Kijiji.ca,N/A,N/A,N/A,2026-06-07,2026-06-07,active,"3437 Turner Street, Vancouver, BC",3437 Turner Street,Vancouver,Vancouver,BC,3000,3,2,1000,N/A,Room,"Three bedroom two bath one living room for rent located one block from the #4 and 14 buses on McGill into Downtown, and 1 km walk up to Hastings Street to catch the #95 to SFU. Access to North ...",N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,1737948850,833a9944ea458e89ee6eec948bd2e2b1,N/A,N/A,N/A,N/A,N/A,N/A,1
Long-term Rental Downtown Month to Month,https://www.kijiji.ca/v-apartments-condos/vancouver/long-term-rental-downtown-month-to-month/1728371296,Kijiji.ca,N/A,N/A,N/A,2026-06-07,2026-06-07,active,"Vancouver, BC V6B 1T5",Vancouver,BC V6B 1T5,Vancouver,BC,1000,1,1,550,N/A,Apartment,"Month to Month is ok with us and 1 bedroom, 2 bedrooms, 2 bedrooms plus 1 den with all full Kitchen, in unit laundry (no waiting), size toilet and showers; We are 1 block away from the Downtown Water ...",N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,1728371296,a9f874fee80aa384c7609a37dbb7acb4,N/A,N/A,N/A,N/A,N/A,N/A,1
"1478 E 57TH AVENUE Vancouver, British Columbia",https://www.kijiji.ca/v-apartments-condos/vancouver/1478-e-57th-avenue-vancouver-british-columbia/1738822859,Kijiji.ca,N/A,N/A,N/A,2026-06-07,2026-06-07,active,"E 57TH AVENUE, Vancouver, BC, V5P2A9",E 57TH AVENUE,Vancouver,Vancouver,BC,2700,3,2,N/A,N/A,Apartment,"Property Details: - 3 Bedrooms | 2 Bathrooms - Upper level of a detached house (separate entrance, self-contained unit) - Address: E 57th Ave and Knight St, Vancouver - Rent: $2,700/month - Available ...",N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,1738822859,16782aa25483d8481b9f856c85a7e0ae,N/A,N/A,N/A,N/A,N/A,N/A,1
"38XX W 36TH AVE VANCOUVER BC Vancouver, British Columbia",https://www.kijiji.ca/v-apartments-condos/vancouver/38xx-w-36th-ave-vancouver-bc-vancouver-british-columbia/1738821227,Kijiji.ca,N/A,N/A,N/A,2026-06-07,2026-06-07,active,"W 36TH AVE VANCOUVER BC, Vancouver, BC, V6N2S5",W 36TH AVE VANCOUVER BC,Vancouver,Vancouver,BC,3000,2,1,N/A,N/A,Basement Suite,"Located in the prestigious Dunbar neighborhood of Vancouver West, this brand new, self-contained 2-bedroom, 1-bathroom basement suite offers a. blend of quality, comfort, and convenience. Private ...",N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,1738821227,7fce14cb91cc42fbe6bd76b08e7e98b6,N/A,N/A,N/A,N/A,N/A,N/A,1
"68xx  ARBUTUS STREET Vancouver, British Columbia",https://www.kijiji.ca/v-apartments-condos/vancouver/68xx-arbutus-street-vancouver-british-columbia/1738821226,Kijiji.ca,N/A,N/A,N/A,2026-06-07,2026-06-07,active,"ARBUTUS STREET, Vancouver, BC, V6P5S7",ARBUTUS STREET,Arbutus,Vancouver,BC,4500,4,4,N/A,N/A,House,"On quiet side of ARBUTUS BY 53RD AVE. INCREDIBLE PROPERTY ON THIS HUGE EXTRA DEEP LOT 95 X 231 (21,945 SQ. FT.) BEAUTIFUL STREET APPEAL, SURROUNDED WITH MANY MILLIONS DOLLARS NEW HOMES. S.W.MARINE ...",N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,1738821226,984f8f11734f9154e551cf69ec3ceac1,N/A,N/A,N/A,N/A,N/A,N/A,1
2 bdrm basement nr King Edward station,https://www.kijiji.ca/v-apartments-condos/vancouver/2-bdrm-basement-nr-king-edward-station/1738537589,Kijiji.ca,N/A,N/A,N/A,2026-06-07,2026-06-07,active,"W 23rd Ave, Vancouver, BC V5Z 2A4",W 23rd Ave,Vancouver,Vancouver,BC,2150,2,1,800,N/A,Basement Suite,"2 bdrm basement suite in Douglas Park neighbourhood. Price includes utilities, wifi, and laundry. Near VGF, Womens and Childrens Hospital and GF strong. Ceiling is 6’6” height so tall people beware. ...",N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,1738537589,ffdd854aed55e99c3fbe2eef37ec4fce,N/A,N/A,N/A,N/A,N/A,N/A,1
"2788 PRINCE EDWARD STREET Vancouver, British Columbia",https://www.kijiji.ca/v-apartments-condos/vancouver/2788-prince-edward-street-vancouver-british-columbia/1738813462,Kijiji.ca,N/A,N/A,N/A,2026-06-07,2026-06-07,active,"PRINCE EDWARD STREET, Vancouver, BC, V5T0C8",PRINCE EDWARD STREET,Vancouver,Vancouver,BC,3795,2,2,N/A,N/A,Apartment,"This gorgeous Mount Pleasant Vancouver Furnished Condo for Rent at Uptown offers 2 bedrooms ,2 bathrooms, a den and lovely balcony. With it´s terrific location and floor-plan, this Vancouver ...",N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,1738813462,d243b1431e54b44f937e9fad641b4838,N/A,N/A,N/A,N/A,N/A,N/A,1
