listing_id,title,listing_url,source_website,address,neighbourhood,city,province,latitude,longitude,price,bedrooms,bathrooms,square_feet,property_type,furnished,pets_allowed,parking,utilities_included,description,first_seen,last_seen,is_active
1726387902,Modern bachelor apartments at Yarrow and Aster East Village!,https://www.kijiji.ca/v-apartments-condos/vancouver/modern-bachelor-apartments-at-yarrow-and-aster-east-village/1726387902,Kijiji.ca,"435 Boundary Road, Vancouver, BC, V5K 0H6",Vancouver,Vancouver,BC,N/A,N/A,1895,Studio/Bachelor,1,N/A,Apartment,N/A,N/A,N/A,N/A,N/A,2026-06-07,2026-06-07,1
1738247260,Century - 1 Bedroom Apartment for Rent,https://www.kijiji.ca/v-apartments-condos/vancouver/century-1-bedroom-apartment-for-rent/1738247260,Kijiji.ca,"250 EAST 15TH STREET, North Vancouver, BC, V7L 2R4",North Vancouver,Vancouver,BC,N/A,N/A,2725,1,1,523,House,N/A,N/A,N/A,N/A,N/A,2026-06-07,2026-06-07,1
1708206115,The Lonsdale - 2 Bedroom Apartment for Rent,https://www.kijiji.ca/v-apartments-condos/vancouver/the-lonsdale-2-bedroom-apartment-for-rent/1708206115,Kijiji.ca,"108 13th Street West, North Vancouver, BC, V7M 0G8",North Vancouver,Vancouver,BC,N/A,N/A,4300,2,2,908,Apartment,N/A,N/A,N/A,N/A,N/A,2026-06-07,2026-06-07,1
1737948850,Three bedroom landway house for rent,https://www.kijiji.ca/v-apartments-condos/vancouver/three-bedroom-landway-house-for-rent/1737948850,Kijiji.ca,"3437 Turner Street, Vancouver, BC",Vancouver,Vancouver,BC,N/A,N/A,3000,3,2,1000,Room,N/A,N/A,N/A,N/A,N/A,2026-06-07,2026-06-07,1
1728371296,Long-term Rental Downtown Month to Month,https://www.kijiji.ca/v-apartments-condos/vancouver/long-term-rental-downtown-month-to-month/1728371296,Kijiji.ca,"Vancouver, BC V6B 1T5",BC V6B 1T5,Vancouver,BC,N/A,N/A,1000,1,1,550,Apartment,N/A,N/A,N/A,N/A,N/A,2026-06-07,2026-06-07,1
1738822859,"1478 E 57TH AVENUE Vancouver, British Columbia",https://www.kijiji.ca/v-apartments-condos/vancouver/1478-e-57th-avenue-vancouver-british-columbia/1738822859,Kijiji.ca,"E 57TH AVENUE, Vancouver, BC, V5P2A9",Vancouver,Vancouver,BC,N/A,N/A,2700,3,2,N/A,Apartment,N/A,N/A,N/A,N/A,N/A,2026-06-07,2026-06-07,1
1738821227,"38XX W 36TH AVE VANCOUVER BC Vancouver, British Columbia",https://www.kijiji.ca/v-apartments-condos/vancouver/38xx-w-36th-ave-vancouver-bc-vancouver-british-columbia/1738821227,Kijiji.ca,"W 36TH AVE VANCOUVER BC, Vancouver, BC, V6N2S5",Vancouver,Vancouver,BC,N/A,N/A,3000,2,1,N/A,Basement Suite,N/A,N/A,N/A,N/A,N/A,2026-06-07,2026-06-07,1
1738821226,"68xx  ARBUTUS STREET Vancouver, British Columbia",https://www.kijiji.ca/v-apartments-condos/vancouver/68xx-arbutus-street-vancouver-british-columbia/1738821226,Kijiji.ca,"ARBUTUS STREET, Vancouver, BC, V6P5S7",Arbutus,Vancouver,BC,N/A,N/A,4500,4,4,N/A,House,N/A,N/A,N/A,N/A,N/A,2026-06-07,2026-06-07,1
1738537589,2 bdrm basement nr King Edward station,https://www.kijiji.ca/v-apartments-condos/vancouver/2-bdrm-basement-nr-king-edward-station/1738537589,Kijiji.ca,"W 23rd Ave, Vancouver, BC V5Z 2A4",Vancouver,Vancouver,BC,N/A,N/A,2150,2,1,800,Basement Suite,N/A,N/A,N/A,N/A,N/A,2026-06-07,2026-06-07,1
1738813462,"2788 PRINCE EDWARD STREET Vancouver, British Columbia",https://www.kijiji.ca/v-apartments-condos/vancouver/2788-prince-edward-street-vancouver-british-columbia/1738813462,Kijiji.ca,"PRINCE EDWARD STREET, Vancouver, BC, V5T0C8",Vancouver,Vancouver,BC,N/A,N/A,3795,2,2,N/A,Apartment,N/A,N/A,N/A,N/A,N/A,2026-06-07,2026-06-07,1
1738813464,"1003 833 HOMER STREET Vancouver, British Columbia",https://www.kijiji.ca/v-apartments-condos/vancouver/1003-833-homer-street-vancouver-british-columbia/1738813464,Kijiji.ca,"833 HOMER STREET, Vancouver, BC, V6B2W2",Vancouver,Vancouver,BC,N/A,N/A,3795,2,3,N/A,Apartment,N/A,N/A,N/A,N/A,N/A,2026-06-07,2026-06-07,1
1738810965,"31X 180 EAST 2ND AVENUE Vancouver, British Columbia",https://www.kijiji.ca/v-apartments-condos/vancouver/31x-180-east-2nd-avenue-vancouver-british-columbia/1738810965,Kijiji.ca,"180 EAST 2ND AVENUE, Vancouver, BC, V5T0K4",Vancouver,Vancouver,BC,N/A,N/A,3400,1,1,N/A,House,N/A,N/A,N/A,N/A,N/A,2026-06-07,2026-06-07,1
