id,year,month,day,hour,minute,offence_type,neighbourhood,hundred_block,latitude,longitude,fetched_at
11,2022,0,0,0,0,Violent and property crime incidents,All,,,,2026-06-07T23:58:03.497165
12,2013,0,0,0,0,Violent and property crime incidents,All,,,,2026-06-07T23:58:03.497165
13,2021,0,0,0,0,Violent and property crime incidents,All,,,,2026-06-07T23:58:03.497165
14,2014,0,0,0,0,Violent and property crime incidents,All,,,,2026-06-07T23:58:03.497165
15,2015,0,0,0,0,Violent and property crime incidents,All,,,,2026-06-07T23:58:03.497165
16,2016,0,0,0,0,Violent and property crime incidents,All,,,,2026-06-07T23:58:03.497165
17,2017,0,0,0,0,Violent and property crime incidents,All,,,,2026-06-07T23:58:03.497165
18,2018,0,0,0,0,Violent and property crime incidents,All,,,,2026-06-07T23:58:03.497165
19,2019,0,0,0,0,Violent and property crime incidents,All,,,,2026-06-07T23:58:03.497165
20,2020,0,0,0,0,Violent and property crime incidents,All,,,,2026-06-07T23:58:03.497165
