id,name,category,address,latitude,longitude,fetched_at
583,Champlain Heights Annex,Public School,7835 Champlain Crescent,49.2140784317513,-123.03054968939806,2026-06-07T23:58:02.389447
584,Charles Dickens Annex,Public School,3877 Glen Drive,49.2502130610676,-123.08271031,2026-06-07T23:58:02.389447
585,Crofton House,Independent School,3200 W 41st Av,49.233677833584544,-123.17721815907593,2026-06-07T23:58:02.389447
586,David Livingstone Elementary,Public School,315 E 23rd Av,49.2507533360676,-123.09798144,2026-06-07T23:58:02.389447
587,G F Strong School Program,Public School,5025 Willow St,49.23963096106753,-123.12579095999999,2026-06-07T23:58:02.389447
588,General Brock Elementary,Public School,4860 Main St,49.24121522106756,-123.10063141,2026-06-07T23:58:02.389447
589,Lord Selkirk Elementary,Public School,1750 E 22nd Av,49.249691952067586,-123.06900705,2026-06-07T23:58:02.389447
590,Pattison High School,Independent School,981 Nelson St,49.28108362095662,-123.12511331828341,2026-06-07T23:58:02.389447
591,Pattison School,Independent School,981 Nelson St,49.28108362095662,-123.12511331828341,2026-06-07T23:58:02.389447
592,Sir Charles Kingsford-Smith,Public School,6901 Elliott St,49.221596673067474,-123.0557042,2026-06-07T23:58:02.389447
593,St Francis Xavier,Independent School,428 Great Northern Way,49.26646231107508,-123.09452064422761,2026-06-07T23:58:02.389447
594,The Westside School,Independent School,788 Beatty St,49.27757064431133,-123.11344354347607,2026-06-07T23:58:02.389447
595,Lord Roberts Elementary,Public School,1100 Bidwell St,49.28678528206777,-123.13784476,2026-06-07T23:58:02.389447
596,Queen Alexandra Elementary,Public School,1300 E Broadway,49.261970549067655,-123.07592057,2026-06-07T23:58:02.389447
597,Quilchena Elementary,Public School,5300 Maple St,49.23724621006754,-123.15157081,2026-06-07T23:58:02.389447
598,Simon Fraser Elementary,Public School,100 W 15th Av,49.25717135541721,-123.10819689943345,2026-06-07T23:58:02.389447
599,Sir Alexander Mackenzie StrongStart,StrongStart BC,960 E 39th Av,49.23453643506752,-123.08671432,2026-06-07T23:58:02.389447
600,Sir Wilfrid Laurier Elementary,Public School,7350 Laurel St,49.21776253406744,-123.12504721,2026-06-07T23:58:02.389447
601,Tecumseh Elementary,Public School,1850 E 41st Av,49.2320557420675,-123.06800394,2026-06-07T23:58:02.389447
602,Thunderbird StrongStart Centre,StrongStart BC,2325 Cassiar St,49.263648890401456,-123.03187058558184,2026-06-07T23:58:02.389447
603,Trafalgar Elementary,Public School,4170 Trafalgar St,49.250178756067605,-123.16460607,2026-06-07T23:58:02.389447
604,West Coast Christian School,Independent School,15 N Renfrew St,49.284984466234356,-123.04453612333309,2026-06-07T23:58:02.389447
605,David Thompson Secondary,Public School,1755 E 55th Av,49.220439256067465,-123.07063159999998,2026-06-07T23:58:02.389447
606,Dr Annie B Jamieson Elementary,Public School,6350 Tisdall St,49.22690693506749,-123.12100426,2026-06-07T23:58:02.389447
607,Emily Carr Elementary,Public School,4070 Oak St,49.2500416520676,-123.12609640999999,2026-06-07T23:58:02.389447
