id,name,line,latitude,longitude,fetched_at
67,Yaletown - Roundhouse,,49.2743622548375,-123.1218903777964,2026-06-07T23:57:56.288550
68,Langara - 49th Avenue,,49.22638691960162,-123.11632486084643,2026-06-07T23:57:56.288550
69,Nanaimo,,49.248272210616825,-123.05587151633279,2026-06-07T23:57:56.288550
70,Stadium - Chinatown,,49.279441691877636,-123.10956479630316,2026-06-07T23:57:56.288550
71,29th Avenue,,49.24424259217731,-123.04594067398634,2026-06-07T23:57:56.288550
72,King Edward,,49.24912287838039,-123.11533610484715,2026-06-07T23:57:56.288550
73,Burrard,,49.28586014917365,-123.11997233644202,2026-06-07T23:57:56.288550
74,Granville,,49.28363768680059,-123.11640402719512,2026-06-07T23:57:56.288550
75,Rupert,,49.26076477791514,-123.03282383181416,2026-06-07T23:57:56.288550
76,Renfrew,,49.25889291082948,-123.04530845874768,2026-06-07T23:57:56.288550
77,Commercial - Broadway,,49.26293626736842,-123.06845389883729,2026-06-07T23:57:56.288550
78,Vancouver City Center,,49.28173470745285,-123.11928408921445,2026-06-07T23:57:56.288550
79,Commercial - Broadway,,49.26181784640944,-123.0690994031622,2026-06-07T23:57:56.288550
80,Waterfront,,49.286075484422376,-123.11173815504947,2026-06-07T23:57:56.288550
81,VCC - Clark,,49.2657831984991,-123.07896225243121,2026-06-07T23:57:56.288550
82,Olympic Village,,49.26634023249435,-123.11519667899394,2026-06-07T23:57:56.288550
83,Broadway - City Hall,,49.262773467883484,-123.11478218139136,2026-06-07T23:57:56.288550
84,Marine Drive,,49.20954787392407,-123.11707077626738,2026-06-07T23:57:56.288550
85,Main Street - Science World,,49.27317791187965,-123.10060690768856,2026-06-07T23:57:56.288550
86,Joyce - Collingwood,,49.23839380523484,-123.03180671710777,2026-06-07T23:57:56.288550
87,Waterfront,,49.28566576739238,-123.1133392689008,2026-06-07T23:57:56.288550
88,Oakridge - 41st Avenue,,49.23346681076931,-123.11604067532821,2026-06-07T23:57:56.288550
