id,name,line,latitude,longitude,fetched_at
89,Yaletown - Roundhouse,,49.2743622548375,-123.1218903777964,2026-06-08T00:08:37.722661
90,Langara - 49th Avenue,,49.22638691960162,-123.11632486084643,2026-06-08T00:08:37.722661
91,Nanaimo,,49.248272210616825,-123.05587151633279,2026-06-08T00:08:37.722661
92,Stadium - Chinatown,,49.279441691877636,-123.10956479630316,2026-06-08T00:08:37.722661
93,29th Avenue,,49.24424259217731,-123.04594067398634,2026-06-08T00:08:37.722661
94,King Edward,,49.24912287838039,-123.11533610484715,2026-06-08T00:08:37.722661
95,Burrard,,49.28586014917365,-123.11997233644202,2026-06-08T00:08:37.722661
96,Granville,,49.28363768680059,-123.11640402719512,2026-06-08T00:08:37.722661
97,Rupert,,49.26076477791514,-123.03282383181416,2026-06-08T00:08:37.722661
98,Renfrew,,49.25889291082948,-123.04530845874768,2026-06-08T00:08:37.722661
99,Commercial - Broadway,,49.26293626736842,-123.06845389883729,2026-06-08T00:08:37.722661
100,Vancouver City Center,,49.28173470745285,-123.11928408921445,2026-06-08T00:08:37.722661
101,Commercial - Broadway,,49.26181784640944,-123.0690994031622,2026-06-08T00:08:37.722661
102,Waterfront,,49.286075484422376,-123.11173815504947,2026-06-08T00:08:37.722661
103,VCC - Clark,,49.2657831984991,-123.07896225243121,2026-06-08T00:08:37.722661
104,Olympic Village,,49.26634023249435,-123.11519667899394,2026-06-08T00:08:37.722661
105,Broadway - City Hall,,49.262773467883484,-123.11478218139136,2026-06-08T00:08:37.722661
106,Marine Drive,,49.20954787392407,-123.11707077626738,2026-06-08T00:08:37.722661
107,Main Street - Science World,,49.27317791187965,-123.10060690768856,2026-06-08T00:08:37.722661
108,Joyce - Collingwood,,49.23839380523484,-123.03180671710777,2026-06-08T00:08:37.722661
109,Waterfront,,49.28566576739238,-123.1133392689008,2026-06-08T00:08:37.722661
110,Oakridge - 41st Avenue,,49.23346681076931,-123.11604067532821,2026-06-08T00:08:37.722661
